2025;01;01;00;-1,8;755;3;90
2025;01;01;03;-0,8;756;2;90
2025;01;01;06;-1,2;754;3;45
2025;01;01;09;-2,2;751;2;0
2025;01;01;12;-2,8;747;3;270
2025;01;01;15;-1,7;742;2;270
2025;01;01;18;-0,2;738;2;0
2025;01;01;21;1,4;736;4;45
2025;01;02;00;0,9;735;3;90
2025;01;02;03;-1,2;734;3;90
2025;01;02;06;-1,8;733;2;180
2025;01;02;09;-4,6;737;3;135
2025;01;02;12;-4,5;739;3;135
2025;01;02;15;-5,1;741;2;135
2025;01;02;18;-5,8;742;2;135
2025;01;02;21;-6;743;1;180
2025;01;03;00;-5,3;744;0;180
2025;01;03;03;-3,3;744;2;45
2025;01;03;06;-2,7;744;2;0
2025;01;03;09;-2,1;744;2;45
2025;01;03;12;-2,1;744;2;45
2025;01;03;15;-3,4;744;0;180
2025;01;03;18;-6,2;746;1;45
2025;01;03;21;-4,6;747;2;0
2025;01;04;00;-4,3;747;2;45
2025;01;04;03;-4,2;747;1;45
2025;01;04;06;-4,4;747;1;45
2025;01;04;09;-4,6;748;0;180
2025;01;04;12;-6,4;748;1;135
2025;01;04;15;-6,9;749;1;45
2025;01;04;18;-10,5;750;0;180
2025;01;04;21;-7,9;751;1;90
2025;01;05;00;-5,5;750;2;0
2025;01;05;03;-5,3;749;3;45
2025;01;05;06;-4,2;749;3;45
2025;01;05;09;-3,2;749;2;90
2025;01;05;12;-5;750;2;135
2025;01;05;15;-8,3;751;1;90
2025;01;05;18;-10,1;753;2;135
2025;01;05;21;-12,2;755;1;135
2025;01;06;00;-14,4;756;0;180
2025;01;06;03;-15,9;757;0;180
2025;01;06;06;-8,2;757;1;315
2025;01;06;09;-6,6;757;0;180
2025;01;06;12;-5,2;757;2;0
2025;01;06;15;-3;757;3;0
2025;01;06;18;-3,5;758;2;45
2025;01;06;21;-3,9;757;3;0
2025;01;07;00;-4,4;757;2;270
2025;01;07;03;-5,2;755;1;270
2025;01;07;06;-5,5;753;1;270
2025;01;07;09;-5,1;752;2;270
2025;01;07;12;-4,3;752;1;270
2025;01;07;15;-3,5;751;1;270
2025;01;07;18;-2,8;751;3;315
2025;01;07;21;-1,8;751;1;270
2025;01;08;00;-0,6;751;1;270
2025;01;08;03;-0,1;750;2;270
2025;01;08;06;0,2;748;0;180
2025;01;08;09;К сожалению фактических данных на эту дату в архиве нет;
2025;01;08;12;0,6;744;1;270
2025;01;08;15;1;743;2;45
2025;01;08;18;0,6;744;3;45
2025;01;08;21;-1;745;3;90
2025;01;09;00;-2,4;748;3;90
2025;01;09;03;-2,4;750;1;90
2025;01;09;06;-2,1;751;0;180
2025;01;09;09;0,5;752;1;0
2025;01;09;12;1;752;2;0
2025;01;09;15;1,5;753;3;45
2025;01;09;18;0,9;754;2;0
2025;01;09;21;0,9;755;2;0
2025;01;10;00;1,1;756;2;0
